2025-09-01 20:43:10,908 | __main__ | INFO | init_app:100 | Application configured for development environment
2025-09-01 20:43:10,914 | __main__ | INFO | <module>:517 | ============================================================
2025-09-01 20:43:10,915 | __main__ | INFO | <module>:518 | GeoPhoto Application Starting
2025-09-01 20:43:10,915 | __main__ | INFO | <module>:519 | Environment: development
2025-09-01 20:43:10,918 | __main__ | INFO | <module>:520 | Debug Mode: False
2025-09-01 20:43:10,919 | __main__ | INFO | <module>:521 | Upload Folder: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\geophoto(Claude)\uploads
2025-09-01 20:43:10,921 | __main__ | INFO | <module>:522 | ============================================================
2025-09-01 20:43:11,365 | werkzeug | INFO | _log:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-09-01 20:43:11,365 | werkzeug | INFO | _log:97 | [33mPress CTRL+C to quit[0m
2025-09-01 20:43:11,395 | werkzeug | INFO | _log:97 |  * Restarting with stat
2025-09-01 20:43:12,531 | __main__ | INFO | init_app:100 | Application configured for development environment
2025-09-01 20:43:12,535 | __main__ | INFO | <module>:517 | ============================================================
2025-09-01 20:43:12,536 | __main__ | INFO | <module>:518 | GeoPhoto Application Starting
2025-09-01 20:43:12,537 | __main__ | INFO | <module>:519 | Environment: development
2025-09-01 20:43:12,537 | __main__ | INFO | <module>:520 | Debug Mode: False
2025-09-01 20:43:12,538 | __main__ | INFO | <module>:521 | Upload Folder: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\geophoto(Claude)\uploads
2025-09-01 20:43:12,538 | __main__ | INFO | <module>:522 | ============================================================
2025-09-01 20:43:12,606 | werkzeug | WARNING | _log:97 |  * Debugger is active!
2025-09-01 20:43:12,622 | werkzeug | INFO | _log:97 |  * Debugger PIN: 692-669-474
2025-09-01 20:45:46,040 | __main__ | INFO | init_app:100 | Application configured for development environment
2025-09-01 20:45:46,043 | __main__ | INFO | <module>:517 | ============================================================
2025-09-01 20:45:46,044 | __main__ | INFO | <module>:518 | GeoPhoto Application Starting
2025-09-01 20:45:46,044 | __main__ | INFO | <module>:519 | Environment: development
2025-09-01 20:45:46,046 | __main__ | INFO | <module>:520 | Debug Mode: False
2025-09-01 20:45:46,046 | __main__ | INFO | <module>:521 | Upload Folder: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\geophoto(Claude)\uploads
2025-09-01 20:45:46,046 | __main__ | INFO | <module>:522 | ============================================================
2025-09-01 20:45:46,144 | werkzeug | INFO | _log:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-09-01 20:45:46,144 | werkzeug | INFO | _log:97 | [33mPress CTRL+C to quit[0m
2025-09-01 20:45:46,149 | werkzeug | INFO | _log:97 |  * Restarting with stat
2025-09-01 20:45:47,161 | __main__ | INFO | init_app:100 | Application configured for development environment
2025-09-01 20:45:47,165 | __main__ | INFO | <module>:517 | ============================================================
2025-09-01 20:45:47,166 | __main__ | INFO | <module>:518 | GeoPhoto Application Starting
2025-09-01 20:45:47,167 | __main__ | INFO | <module>:519 | Environment: development
2025-09-01 20:45:47,167 | __main__ | INFO | <module>:520 | Debug Mode: False
2025-09-01 20:45:47,168 | __main__ | INFO | <module>:521 | Upload Folder: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\geophoto(Claude)\uploads
2025-09-01 20:45:47,169 | __main__ | INFO | <module>:522 | ============================================================
2025-09-01 20:45:47,223 | werkzeug | WARNING | _log:97 |  * Debugger is active!
2025-09-01 20:45:47,235 | werkzeug | INFO | _log:97 |  * Debugger PIN: 692-669-474
2025-09-02 02:50:41,230 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:50:41] "GET / HTTP/1.1" 200 -
2025-09-02 02:50:41,324 | __main__ | WARNING | not_found_error:386 | 404 error: http://127.0.0.1:5000/static/css/style.css
2025-09-02 02:50:41,329 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:50:41] "[33mGET /static/css/style.css HTTP/1.1[0m" 404 -
2025-09-02 02:50:41,714 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:50:41] "GET /static/js/script.js HTTP/1.1" 200 -
2025-09-02 02:50:41,744 | __main__ | WARNING | not_found_error:386 | 404 error: http://127.0.0.1:5000/favicon.ico
2025-09-02 02:50:41,747 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:50:41] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-09-02 02:51:00,070 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\geophoto(Claude)\uploads\20250902_025059_geoprojeto.jpg
2025-09-02 02:51:01,295 | __main__ | INFO | extract_gps_with_exifread:339 | ExifRead extracted: 35.747145299640664, -5.823976424180057
2025-09-02 02:51:01,296 | __main__ | INFO | index:457 | ✓ Success for geoprojeto.jpg: 35.747145299640664, -5.823976424180057
2025-09-02 02:51:01,306 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:51:01] "POST / HTTP/1.1" 200 -
2025-09-02 02:51:01,361 | __main__ | WARNING | not_found_error:386 | 404 error: http://127.0.0.1:5000/static/css/style.css
2025-09-02 02:51:01,366 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:51:01] "[33mGET /static/css/style.css HTTP/1.1[0m" 404 -
2025-09-02 02:51:01,369 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:51:01] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-02 02:51:50,068 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\geophoto(Claude)\uploads\20250902_025150_luciano.jpg
2025-09-02 02:51:50,098 | __main__ | WARNING | extract_coordinates:372 | All extraction methods failed
2025-09-02 02:51:50,100 | __main__ | WARNING | index:467 | No GPS data in luciano.jpg
2025-09-02 02:51:50,103 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:51:50] "POST / HTTP/1.1" 200 -
2025-09-02 02:51:50,169 | __main__ | WARNING | not_found_error:386 | 404 error: http://127.0.0.1:5000/static/css/style.css
2025-09-02 02:51:50,173 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:51:50] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-02 02:51:50,174 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:51:50] "[33mGET /static/css/style.css HTTP/1.1[0m" 404 -
2025-09-02 02:52:35,049 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\geophoto(Claude)\uploads\20250902_025234_geoprojeto.jpg
2025-09-02 02:52:35,077 | __main__ | ERROR | extract_gps_with_exifread:346 | ExifRead extraction failed: float division by zero
2025-09-02 02:52:35,079 | __main__ | WARNING | extract_coordinates:372 | All extraction methods failed
2025-09-02 02:52:35,081 | __main__ | WARNING | index:467 | No GPS data in geoprojeto.jpg
2025-09-02 02:52:35,090 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:52:35] "POST / HTTP/1.1" 200 -
2025-09-02 02:52:35,142 | __main__ | WARNING | not_found_error:386 | 404 error: http://127.0.0.1:5000/static/css/style.css
2025-09-02 02:52:35,145 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:52:35] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-02 02:52:35,146 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:52:35] "[33mGET /static/css/style.css HTTP/1.1[0m" 404 -
2025-09-02 02:52:42,541 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\geophoto(Claude)\uploads\20250902_025242_luciano.jpg
2025-09-02 02:52:42,567 | __main__ | WARNING | extract_coordinates:372 | All extraction methods failed
2025-09-02 02:52:42,568 | __main__ | WARNING | index:467 | No GPS data in luciano.jpg
2025-09-02 02:52:42,571 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:52:42] "POST / HTTP/1.1" 200 -
2025-09-02 02:52:42,619 | __main__ | WARNING | not_found_error:386 | 404 error: http://127.0.0.1:5000/static/css/style.css
